iter	Passed	Remaining
335	1504	2973
336	1509	2969
337	1514	2965
338	1518	2960
339	1523	2956
340	1527	2952
341	1532	2948
342	1537	2944
343	1541	2940
344	1546	2935
345	1551	2931
346	1555	2927
347	1560	2923
348	1565	2919
349	1569	2915
350	1574	2911
351	1579	2907
352	1583	2902
353	1588	2898
354	1592	2893
355	1597	2889
356	1601	2884
357	1608	2883
358	1612	2879
359	1617	2875
360	1622	2872
361	1627	2867
362	1632	2863
363	1636	2859
364	1641	2855
365	1645	2850
366	1650	2847
367	1655	2843
368	1660	2838
369	1664	2834
370	1669	2830
371	1674	2826
372	1678	2821
373	1684	2819
374	1689	2816
375	1695	2814
376	1700	2810
377	1705	2806
378	1709	2801
379	1714	2797
380	1719	2793
381	1723	2789
382	1728	2784
383	1733	2780
384	1737	2775
385	1742	2771
386	1746	2766
387	1751	2762
388	1755	2758
389	1760	2753
390	1764	2748
391	1769	2744
392	1774	2740
393	1778	2736
394	1783	2731
395	1788	2727
396	1792	2723
397	1797	2719
398	1802	2714
399	1806	2710
400	1811	2705
401	1815	2701
402	1820	2696
403	1825	2692
404	1829	2688
405	1834	2683
406	1838	2679
407	1843	2674
408	1848	2670
409	1852	2665
410	1857	2661
411	1861	2657
412	1866	2652
413	1871	2648
414	1875	2644
415	1880	2639
416	1885	2635
417	1889	2631
418	1894	2626
419	1898	2622
420	1903	2618
421	1908	2613
422	1912	2609
423	1917	2604
424	1922	2600
425	1926	2595
426	1931	2591
